dillution_steps;Target;Positives;Negatives;modeled_Q;SQ
1;Bettge;12329;0;1000000;10000
1;Bettge;14272;0;1000000;10000
1;Bettge;13280;0;1000000;10000
1;Bettge;14801;0;1000000;10000
1;Bettge;16147;1;11400;10000
1;Bettge;15642;2;10500;10000
1;Bettge;14961;0;1000000;10000
1;Bettge;3171;29;5530;10000
1;Bettge;8214;0;1000000;10000
1;Bettge;11453;0;1000000;10000
2;Bettge;11042;466;3770;3000
2;Bettge;14578;661;3690;3000
2;Bettge;13110;557;3760;3000
2;Bettge;15887;747;3650;3000
2;Bettge;14841;654;3720;3000
2;Bettge;12433;600;3620;3000
2;Bettge;12295;615;3580;3000
2;Bettge;3186;169;3520;3000
2;Bettge;13040;502;3880;3000
2;Bettge;15975;669;3780;3000
3;Bettge;9066;5191;1189;1000
3;Bettge;10107;6121;1147;1000
3;Bettge;9531;5186;1227;1000
3;Bettge;10312;5488;1244;1000
3;Bettge;9407;5548;1167;1000
3;Bettge;9466;5429;1187;1000
3;Bettge;8487;4670;1219;1000
3;Bettge;1891;1103;1170;1000
3;Bettge;8059;4538;1201;1000
3;Bettge;9345;5390;1183;1000
4;Bettge;4003;11210;359;300
4;Bettge;4365;12356;356;300
4;Bettge;3877;10831;360;300
4;Bettge;4717;13314;357;300
4;Bettge;4374;12272;359;300
4;Bettge;4303;12473;349;300
4;Bettge;3604;10450;349;300
4;Bettge;724;1984;366;300
4;Bettge;3661;9970;368;300
4;Bettge;4153;11838;354;300
5;Bettge;1366;14334;107;100
5;Bettge;1285;12939;111;100
5;Bettge;1421;14065;113;100
5;Bettge;1420;15387;104;100
5;Bettge;1409;14123;112;100
5;Bettge;1523;15274;112;100
5;Bettge;1298;13360;109;100
5;Bettge;260;2461;118;100
5;Bettge;1235;12638;110;100
5;Bettge;1329;13170;113;100
9;Bettge;334;14146;27.5;30
9;Bettge;457;17158;30.9;30
9;Bettge;337;14420;27.2;30
9;Bettge;425;17429;28.3;30
9;Bettge;386;15666;28.6;30
9;Bettge;416;17434;27.7;30
9;Bettge;423;17226;28.5;30
9;Bettge;115;4238;31;30
9;Bettge;395;15375;29.8;30
9;Bettge;438;17698;28.8;30
11;Bettge;140;16974;9.7;10
11;Bettge;159;17716;10.5;10
11;Bettge;164;15540;12.4;10
11;Bettge;113;13999;9.5;10
11;Bettge;142;16547;10.1;10
11;Bettge;161;18419;10.2;10
11;Bettge;167;17357;11.3;10
11;Bettge;47;3817;14.4;10
11;Bettge;146;15867;10.8;10
11;Bettge;168;16882;11.6;10
11;Bettge;94;11935;9.2;10
11;Bettge;144;15508;10.9;10
11;Bettge;164;16370;11.7;10
11;Bettge;149;16634;10.5;10
11;Bettge;128;14343;10.5;10
11;Bettge;166;17096;11.4;10
11;Bettge;162;16741;11.3;10
11;Bettge;156;17111;10.7;10
11;Bettge;151;17534;10.1;10
11;Bettge;131;14135;10.9;10
11;Bettge;138;15310;10.6;10
11;Bettge;185;17675;12.2;10
11;Bettge;158;16726;11.1;10
11;Bettge;162;17432;10.9;10
11;Bettge;110;13355;9.7;10
11;Bettge;137;15292;10.5;10
11;Bettge;156;15543;11.7;10
11;Bettge;165;16624;11.6;10
11;Bettge;187;16073;13.6;10
11;Bettge;149;15846;11;10
12;Bettge;70;15112;5.4;5
12;Bettge;85;17373;5.7;5
12;Bettge;77;14595;6.2;5
12;Bettge;74;18614;4.7;5
12;Bettge;74;13448;6.5;5
12;Bettge;71;16903;4.9;5
12;Bettge;77;16708;5.4;5
12;Bettge;71;17644;4.7;5
12;Bettge;60;18025;3.9;5
12;Bettge;84;17326;5.7;5
13;Bettge;29;14945;2.3;3
13;Bettge;27;16651;1.9;3
13;Bettge;22;15199;1.7;3
13;Bettge;29;16669;2;3
13;Bettge;27;12515;2.5;3
13;Bettge;30;15607;2.3;3
13;Bettge;32;17350;2.2;3
13;Bettge;8;8680;1.1;3
13;Bettge;35;18593;2.2;3
13;Bettge;27;17369;1.8;3
14;Bettge;15;16420;1.1;1
14;Bettge;21;16869;1.5;1
14;Bettge;13;16144;0.9;1
14;Bettge;16;18027;1;1
14;Bettge;15;16610;1.1;1
14;Bettge;14;16436;1;1
14;Bettge;13;15465;1;1
14;Bettge;18;16596;1.3;1
14;Bettge;18;16586;1.3;1
14;Bettge;13;17302;0.88;1
15;Bettge;3;17009;0.21;0.3
15;Bettge;5;17981;0.33;0.3
15;Bettge;6;15393;0.46;0.3
15;Bettge;2;18112;0.13;0.3
15;Bettge;3;14483;0.24;0.3
15;Bettge;4;16972;0.28;0.3
15;Bettge;6;16629;0.42;0.3
15;Bettge;12;16312;0.87;0.3
15;Bettge;8;16921;0.56;0.3
15;Bettge;3;16055;0.22;0.3
