Target;Cq;SQ
Bettge;21.84;10000
Bettge;21.91;10000
Bettge;21.86;10000
Bettge;21.75;10000
Bettge;21.73;10000
Bettge;21.88;10000
Bettge;21.81;10000
Bettge;21.79;10000
Bettge;21.74;10000
Bettge;21.67;10000
Bettge;23.6;3000
Bettge;23.71;3000
Bettge;23.74;3000
Bettge;23.91;3000
Bettge;23.78;3000
Bettge;24.04;3000
Bettge;23.75;3000
Bettge;23.95;3000
Bettge;23.77;3000
Bettge;23.67;3000
Bettge;;
Bettge;;
Bettge;;
Bettge;;
Hutchins;22.03;10000
Hutchins;22.1;10000
Hutchins;22.05;10000
Hutchins;22.12;10000
Hutchins;21.87;10000
Hutchins;22.12;10000
Hutchins;21.96;10000
Hutchins;22.01;10000
Hutchins;22.03;10000
Hutchins;22.16;10000
Hutchins;23.78;3000
Hutchins;23.89;3000
Hutchins;23.87;3000
Hutchins;23.93;3000
Hutchins;23.84;3000
Hutchins;23.88;3000
Hutchins;23.79;3000
Hutchins;23.91;3000
Hutchins;23.9;3000
Hutchins;23.89;3000
Hutchins;;
Hutchins;;
Hutchins;;
Hutchins;;
Bettge;25.67;1000
Bettge;25.86;1000
Bettge;25.73;1000
Bettge;25.75;1000
Bettge;25.86;1000
Bettge;25.91;1000
Bettge;25.89;1000
Bettge;25.74;1000
Bettge;25.98;1000
Bettge;25.92;1000
Bettge;28.04;300
Bettge;28.01;300
Bettge;27.95;300
Bettge;28.02;300
Bettge;27.99;300
Bettge;27.82;300
Bettge;28.04;300
Bettge;28.08;300
Bettge;28.01;300
Bettge;27.83;300
Bettge;;
Bettge;;
Bettge;;
Bettge;;
Hutchins;25.64;1000
Hutchins;25.76;1000
Hutchins;25.65;1000
Hutchins;25.73;1000
Hutchins;25.55;1000
Hutchins;25.65;1000
Hutchins;25.59;1000
Hutchins;25.5;1000
Hutchins;25.62;1000
Hutchins;25.66;1000
Hutchins;27.7;300
Hutchins;27.76;300
Hutchins;27.66;300
Hutchins;27.57;300
Hutchins;27.55;300
Hutchins;27.58;300
Hutchins;27.56;300
Hutchins;27.66;300
Hutchins;27.5;300
Hutchins;27.65;300
Hutchins;;
Hutchins;;
Hutchins;;
Hutchins;;
Bettge;29.74;100
Bettge;29.81;100
Bettge;29.72;100
Bettge;29.75;100
Bettge;29.79;100
Bettge;29.84;100
Bettge;29.83;100
Bettge;29.74;100
Bettge;29.58;100
Bettge;29.68;100
Bettge;31.85;30
Bettge;31.62;30
Bettge;31.79;30
Bettge;31.83;30
Bettge;31.92;30
Bettge;31.72;30
Bettge;31.88;30
Bettge;32.1;30
Bettge;31.99;30
Bettge;31.93;30
Bettge;;
Bettge;;
Bettge;;
Bettge;;
Hutchins;29.32;100
Hutchins;29.47;100
Hutchins;29.61;100
Hutchins;29.4;100
Hutchins;29.55;100
Hutchins;29.65;100
Hutchins;29.54;100
Hutchins;29.47;100
Hutchins;29.42;100
Hutchins;29.65;100
Hutchins;31.62;30
Hutchins;31.7;30
Hutchins;31.52;30
Hutchins;31.72;30
Hutchins;31.71;30
Hutchins;31.53;30
Hutchins;31.64;30
Hutchins;31.53;30
Hutchins;31.59;30
Hutchins;31.59;30
Hutchins;;
Hutchins;;
Hutchins;;
Hutchins;;
Bettge;34.04;10
Bettge;33.96;10
Bettge;34.28;10
Bettge;34.04;10
Bettge;33.98;10
Bettge;34.25;10
Bettge;34.07;10
Bettge;34.06;10
Bettge;33.35;10
Bettge;33.31;10
Bettge;34.6;5
Bettge;34.75;5
Bettge;34.3;5
Bettge;34.86;5
Bettge;35.41;5
Bettge;34.72;5
Bettge;35.02;5
Bettge;34.73;5
Bettge;34.84;5
Bettge;34.56;5
Bettge;;
Bettge;;
Bettge;;
Bettge;;
Hutchins;34.03;10
Hutchins;34.14;10
Hutchins;34.08;10
Hutchins;34.02;10
Hutchins;33.8;10
Hutchins;33.56;10
Hutchins;33.98;10
Hutchins;33.98;10
Hutchins;33.72;10
Hutchins;33.8;10
Hutchins;34.65;5
Hutchins;34.6;5
Hutchins;34.72;5
Hutchins;34.63;5
Hutchins;34.35;5
Hutchins;34.62;5
Hutchins;34.52;5
Hutchins;34.1;5
Hutchins;34.81;5
Hutchins;34.98;5
Hutchins;;
Hutchins;;
Hutchins;;
Hutchins;;
Bettge;33.59;6
Bettge;33.63;6
Bettge;33.62;6
Bettge;33.61;6
Bettge;33.63;6
Bettge;33.31;6
