Sample;count
AA I_1;0
AA I_1;0
AA I_1;0
AA I_2;25
AA I_2;24
AA I_2;20
AA I_3;34
AA I_3;27
AA I_3;35
AA I_4;0
AA I_4;0
AA I_4;0
AA II_1;0
AA II_1;0
AA II_1;0
AA II_2;0
AA II_2;0
AA II_2;0
AA II_3;0
AA II_3;0
AA II_3;0
AA II_4;0
AA II_4;0
AA II_4;0
AA V_1;11
AA V_1;8
AA V_1;11
AA VI_1;29
AA VI_1;35
AA VI_1;19
Fu I_1;122
Fu I_1;138
Fu I_1;117
Fu I_2;0
Fu I_2;0
Fu I_2;1
Fu I_3;0
Fu I_3;0
Fu I_3;0
Fu I_4;17
Fu I_4;22
Fu I_4;17
Fu II_1;2
Fu II_1;2
Fu II_1;4
Fu II_2;0
Fu II_2;0
Fu II_2;0
Fu II_3;0
Fu II_3;0
Fu II_3;0
Fu II_4;29
Fu II_4;10
Fu II_4;43
Fu V_1;95
Fu V_1;76
Fu V_1;125
Fu VI_1;24
Fu VI_1;34
Fu VI_1;36
Ly I_1;1
Ly I_1;1
Ly I_1;3
Ly I_2;0
Ly I_2;1
Ly I_2;2
Ly I_3;41
Ly I_3;31
Ly I_3;37
Ly I_4;0
Ly I_4;0
Ly I_4;0
Ly II_1;0
Ly II_1;0
Ly II_1;0
Ly II_2;0
Ly II_2;0
Ly II_2;0
Ly II_3;1
Ly II_3;0
Ly II_3;0
Ly II_4;0
Ly II_4;0
Ly II_4;0
Ly V_1;18
Ly V_1;23
Ly V_1;19
Ly VI_1;24
Ly VI_1;23
Ly VI_1;23
NegI_1;0
NegI_1;0
NegI_1;0
NegII_1;0
NegII_1;0
NegII_1;1
NTC;0
NTC;0
NTC;0
RF;174
RF;177
RF;96
U I_1;0
U I_1;0
U I_1;0
U I_2;24
U I_2;33
U I_2;37
U I_3;12
U I_3;27
U I_3;44
U I_4;0
U I_4;0
U I_4;0
U II_1;0
U II_1;0
U II_1;0
U II_2;85
U II_2;77
U II_2;31
U II_3;0
U II_3;0
U II_3;0
U II_4;0
U II_4;0
U II_4;0
U V_1;33
U V_1;36
U V_1;32
U VI_1;0
U VI_1;0
U VI_1;0
Wi RON I_1;0
Wi RON I_1;0
Wi RON I_1;0
Wi RON I_2;0
Wi RON I_2;0
Wi RON I_2;0
Wi RON I_3;0
Wi RON I_3;0
Wi RON I_3;0
Wi RON I_4;0
Wi RON I_4;0
Wi RON I_4;0
Wi RON II_1;0
Wi RON II_1;0
Wi RON II_1;0
Wi RON II_2;0
Wi RON II_2;0
Wi RON II_2;0
Wi RON II_3;1
Wi RON II_3;2
Wi RON II_3;1
Wi RON II_4;0
Wi RON II_4;0
Wi RON II_4;0
Wi RON V_1;0
Wi RON V_1;0
Wi RON V_1;1
Wi RON VI_1;0
Wi RON VI_1;0
Wi RON VI_1;0
Wi ROT I_1;13
Wi ROT I_1;12
Wi ROT I_1;14
Wi ROT I_2;0
Wi ROT I_2;0
Wi ROT I_2;0
Wi ROT I_3;0
Wi ROT I_3;2
Wi ROT I_3;4
Wi ROT I_4;0
Wi ROT I_4;0
Wi ROT I_4;0
Wi ROT II_1;10
Wi ROT II_1;5
Wi ROT II_1;10
Wi ROT II_2;0
Wi ROT II_2;0
Wi ROT II_2;0
Wi ROT II_3;5
Wi ROT II_3;4
Wi ROT II_3;4
Wi ROT II_4;0
Wi ROT II_4;0
Wi ROT II_4;0
Wi ROT V_1;5
Wi ROT V_1;3
Wi ROT V_1;6
Wi ROT VI_1;13
Wi ROT VI_1;6
Wi ROT VI_1;11
