River	Filter_Type	Volume_filtered_ml	Sample_ID	pcr	Result
AA	Sterivex	300	AA I_1	qPCR	0
AA	Sterivex	300	AA I_1	qPCR	0
AA	Sterivex	300	AA II_1	qPCR	0
AA	Sterivex	300	AA II_1	qPCR	0
AA	Sterivex	300	AA II_1	qPCR	0
AA	Sterivex	300	AA II_1	qPCR	0
AA	Sterivex	300	AA II_1	qPCR	0
AA	Sterivex	300	AA I_2	qPCR	1
AA	Sterivex	300	AA I_2	qPCR	1
AA	Sterivex	300	AA I_2	qPCR	1
AA	Sterivex	300	AA I_2	qPCR	1
AA	Sterivex	300	AA II_2	qPCR	0
AA	Sterivex	300	AA II_2	qPCR	0
AA	Sterivex	300	AA II_2	qPCR	0
AA	Sterivex	300	AA II_2	qPCR	0
AA	Sterivex	300	AA II_2	qPCR	0
AA	Sterivex	300	AA I_3	qPCR	1
AA	Sterivex	300	AA I_3	qPCR	1
AA	Sterivex	300	AA I_3	qPCR	1
AA	Sterivex	300	AA I_3	qPCR	1
AA	Sterivex	300	AA I_3	qPCR	1
AA	Sterivex	300	AA II_3	qPCR	0
AA	Sterivex	300	AA II_3	qPCR	0
AA	Sterivex	300	AA II_3	qPCR	0
AA	Sterivex	300	AA II_3	qPCR	0
AA	Sterivex	300	AA II_3	qPCR	0
AA	Sterivex	300	AA I_4	qPCR	0
AA	Sterivex	300	AA I_4	qPCR	0
AA	Sterivex	300	AA I_4	qPCR	0
AA	Sterivex	300	AA I_4	qPCR	0
AA	Sterivex	300	AA I_4	qPCR	0
AA	Sterivex	300	AA II_4	qPCR	0
AA	Sterivex	300	AA II_4	qPCR	0
AA	Sterivex	300	AA II_4	qPCR	0
AA	Sterivex	300	AA II_4	qPCR	0
AA	Sterivex	300	AA II_4	qPCR	0
AA	Sterivex	600	AA V_1	qPCR	1
AA	Sterivex	600	AA V_1	qPCR	1
AA	Sterivex	600	AA V_1	qPCR	1
AA	Sterivex	600	AA V_1	qPCR	1
AA	Sterivex	600	AA V_1	qPCR	1
AA	Sterivex	600	AA VI_1	qPCR	1
AA	Sterivex	600	AA VI_1	qPCR	1
AA	Sterivex	600	AA VI_1	qPCR	1
AA	Sterivex	600	AA VI_1	qPCR	1
AA	Sterivex	600	AA VI_1	qPCR	1
Ly	Sterivex	300	Ly I_1	qPCR	1
Ly	Sterivex	300	Ly I_1	qPCR	1
Ly	Sterivex	300	Ly I_1	qPCR	1
Ly	Sterivex	300	Ly II_1	qPCR	0
Ly	Sterivex	300	Ly II_1	qPCR	0
Ly	Sterivex	300	Ly II_1	qPCR	0
Ly	Sterivex	300	Ly II_1	qPCR	0
Ly	Sterivex	300	Ly II_1	qPCR	0
Ly	Sterivex	300	Ly I_2	qPCR	0
Ly	Sterivex	300	Ly I_2	qPCR	1
Ly	Sterivex	300	Ly I_2	qPCR	1
Ly	Sterivex	300	Ly I_2	qPCR	1
Ly	Sterivex	300	Ly I_2	qPCR	1
Ly	Sterivex	300	Ly II_2	qPCR	0
Ly	Sterivex	300	Ly II_2	qPCR	0
Ly	Sterivex	300	Ly II_2	qPCR	0
Ly	Sterivex	300	Ly II_2	qPCR	0
Ly	Sterivex	300	Ly II_2	qPCR	0
Ly	Sterivex	300	Ly I_3	qPCR	1
Ly	Sterivex	300	Ly I_3	qPCR	1
Ly	Sterivex	300	Ly I_3	qPCR	1
Ly	Sterivex	300	Ly I_3	qPCR	1
Ly	Sterivex	300	Ly I_3	qPCR	1
Ly	Sterivex	300	Ly II_3	qPCR	1
Ly	Sterivex	300	Ly II_3	qPCR	1
Ly	Sterivex	300	Ly II_3	qPCR	1
Ly	Sterivex	300	Ly II_3	qPCR	1
Ly	Sterivex	300	Ly II_3	qPCR	1
Ly	Sterivex	300	Ly I_4	qPCR	0
Ly	Sterivex	300	Ly I_4	qPCR	0
Ly	Sterivex	300	Ly I_4	qPCR	0
Ly	Sterivex	300	Ly I_4	qPCR	0
Ly	Sterivex	300	Ly I_4	qPCR	0
Ly	Sterivex	300	Ly II_4	qPCR	0
Ly	Sterivex	300	Ly II_4	qPCR	0
Ly	Sterivex	300	Ly II_4	qPCR	0
Ly	Sterivex	300	Ly II_4	qPCR	0
Ly	Sterivex	300	Ly II_4	qPCR	0
Ly	Sterivex	600	Ly V_1	qPCR	1
Ly	Sterivex	600	Ly V_1	qPCR	1
Ly	Sterivex	600	Ly V_1	qPCR	1
Ly	Sterivex	600	Ly V_1	qPCR	1
Ly	Sterivex	600	Ly V_1	qPCR	1
Ly	Sterivex	600	Ly VI_1	qPCR	1
Ly	Sterivex	600	Ly VI_1	qPCR	1
Ly	Sterivex	600	Ly VI_1	qPCR	1
Ly	Sterivex	600	Ly VI_1	qPCR	1
Ly	Sterivex	600	Ly VI_1	qPCR	1
U	Sterivex	300	U I_1	qPCR	0
U	Sterivex	300	U I_1	qPCR	0
U	Sterivex	300	U I_1	qPCR	0
U	Sterivex	300	U II_1	qPCR	0
U	Sterivex	300	U II_1	qPCR	0
U	Sterivex	300	U II_1	qPCR	0
U	Sterivex	300	U II_1	qPCR	0
U	Sterivex	300	U II_1	qPCR	0
U	Sterivex	300	U I_2	qPCR	1
U	Sterivex	300	U I_2	qPCR	1
U	Sterivex	300	U I_2	qPCR	1
U	Sterivex	300	U I_2	qPCR	1
U	Sterivex	300	U I_2	qPCR	1
U	Sterivex	300	U II_2	qPCR	1
U	Sterivex	300	U II_2	qPCR	1
U	Sterivex	300	U II_2	qPCR	1
U	Sterivex	300	U II_2	qPCR	1
U	Sterivex	300	U I_3	qPCR	1
U	Sterivex	300	U I_3	qPCR	1
U	Sterivex	300	U I_3	qPCR	1
U	Sterivex	300	U I_3	qPCR	1
U	Sterivex	300	U I_3	qPCR	1
U	Sterivex	300	U II_3	qPCR	0
U	Sterivex	300	U II_3	qPCR	0
U	Sterivex	300	U II_3	qPCR	0
U	Sterivex	300	U II_3	qPCR	0
U	Sterivex	300	U II_3	qPCR	0
U	Sterivex	300	U I_4	qPCR	0
U	Sterivex	300	U I_4	qPCR	0
U	Sterivex	300	U I_4	qPCR	0
U	Sterivex	300	U I_4	qPCR	0
U	Sterivex	300	U I_4	qPCR	0
U	Sterivex	300	U II_4	qPCR	0
U	Sterivex	300	U II_4	qPCR	0
U	Sterivex	300	U II_4	qPCR	0
U	Sterivex	300	U II_4	qPCR	0
U	Sterivex	300	U II_4	qPCR	0
U	Sterivex	600	U V_1	qPCR	1
U	Sterivex	600	U V_1	qPCR	1
U	Sterivex	600	U V_1	qPCR	1
U	Sterivex	600	U V_1	qPCR	1
U	Sterivex	600	U V_1	qPCR	1
U	Sterivex	600	U VI_1	qPCR	0
U	Sterivex	600	U VI_1	qPCR	0
U	Sterivex	600	U VI_1	qPCR	0
U	Sterivex	600	U VI_1	qPCR	0
U	Sterivex	600	U VI_1	qPCR	1
Fu	Sterivex	300	Fu I_1	qPCR	1
Fu	Sterivex	300	Fu I_1	qPCR	1
Fu	Sterivex	300	Fu II_1	qPCR	1
Fu	Sterivex	300	Fu II_1	qPCR	1
Fu	Sterivex	300	Fu II_1	qPCR	1
Fu	Sterivex	300	Fu I_2	qPCR	0
Fu	Sterivex	300	Fu I_2	qPCR	1
Fu	Sterivex	300	Fu I_2	qPCR	0
Fu	Sterivex	300	Fu I_2	qPCR	0
Fu	Sterivex	300	Fu II_2	qPCR	1
Fu	Sterivex	300	Fu II_2	qPCR	0
Fu	Sterivex	300	Fu II_2	qPCR	0
Fu	Sterivex	300	Fu II_2	qPCR	0
Fu	Sterivex	300	Fu II_2	qPCR	0
Fu	Sterivex	300	Fu I_3	qPCR	0
Fu	Sterivex	300	Fu I_3	qPCR	0
Fu	Sterivex	300	Fu I_3	qPCR	0
Fu	Sterivex	300	Fu I_3	qPCR	0
Fu	Sterivex	300	Fu I_3	qPCR	0
Fu	Sterivex	300	Fu II_3	qPCR	0
Fu	Sterivex	300	Fu II_3	qPCR	0
Fu	Sterivex	300	Fu II_3	qPCR	0
Fu	Sterivex	300	Fu II_3	qPCR	0
Fu	Sterivex	300	Fu II_3	qPCR	0
Fu	Sterivex	300	Fu I_4	qPCR	1
Fu	Sterivex	300	Fu I_4	qPCR	1
Fu	Sterivex	300	Fu I_4	qPCR	1
Fu	Sterivex	300	Fu I_4	qPCR	1
Fu	Sterivex	300	Fu I_4	qPCR	1
Fu	Sterivex	300	Fu II_4	qPCR	1
Fu	Sterivex	300	Fu II_4	qPCR	1
Fu	Sterivex	300	Fu II_4	qPCR	1
Fu	Sterivex	300	Fu II_4	qPCR	1
Fu	Sterivex	300	Fu II_4	qPCR	1
Fu	Sterivex	600	Fu V_1	qPCR	1
